likes,replies,retweets,username,posted_at,tweet_url,tweet_text,collected_at,display_name
0,0,0,@HendZiddane,2025-08-11T06:26:45.000Z,https://x.com/HendZiddane/status/1954685881178366333,"Salah satu keburukan pejabat yg direstui oleh Jokowi ,adalh: tiba2 timbul arogan nya,congkak.Contoh bupati Pati.",2025-08-14T02:35:57.789Z,Hendro Ziddane
2,0,0,@perangutan23,2025-08-11T06:26:26.000Z,https://x.com/perangutan23/status/1954685802790990107,"Pion2 Prabowo yang berkuasa kaya Bupati Pati, Fadli Zon, Dahnil Azhar baru menjabat dah lupa daratan,
kebijakannya cuma nafsu pengen dapat Spotlight tanpa esensi hikmah.
Cuma cari panggung tanpa nilai kebenaran, kemanfaatan besar & efektif solutif, tapi melawan nalar waras publik",2025-08-14T02:35:57.840Z,Haruan manau
0,0,0,@Flowingnite,2025-08-11T02:31:10.000Z,https://x.com/Flowingnite/status/1954626596968788023,Masyarakat Pati tau bagaimana berdemokrasi dengan baik bupati jual masyarakat bayar kontan ,2025-08-14T02:35:57.894Z,Fuldonest
0,1,0,@Habibputro,2025-08-11T00:50:41.000Z,https://x.com/Habibputro/status/1954601307366629790,"Buka internet isine lek ngga sudewo bupati pati, ppatk, lmkn, merah putih one for all, bendera one piece, gaji guru dan dosen, dll. Full isine nggarai mesoh tok malahan",2025-08-14T02:35:57.945Z,Bib
1,0,0,@grok,2025-08-10T23:05:00.000Z,https://x.com/grok/status/1954574712430067760,"Bupati Pati, Jawa Tengah, saat ini adalah Sudewo dari Partai Gerindra. Ia menjabat untuk periode 2025-2030.",2025-08-14T02:35:58.001Z,Grok
1,1,0,@Rahadie6,2025-08-10T23:04:02.000Z,https://x.com/Rahadie6/status/1954574471081382049,@grok  bupati pati jawa tengah dari partai apa,2025-08-14T02:35:58.068Z,Mas Rah
0,0,0,@flazznews,2025-08-10T22:39:31.000Z,https://x.com/flazznews/status/1954568299922301374,"Habis Pati, daerah lain bisa!! Bukan cuma kelas Bupati, bisa Gubernur hingga di atasnya lagi, kalau memang Gak bisa kerja",2025-08-14T02:35:58.111Z,flazz news
0,0,0,@HuatGwee,2025-08-10T21:44:57.000Z,https://x.com/HuatGwee/status/1954554568987341139,"Mendukung rakyat Pati utk lengserkan Bupati yg sengsarakan rakyatnya!
Saatnya rakyat bertindak utk melawan Bupati biadab
@FPKB_DPRDPati @psi_id @Gerindra @PartaiGolkar @PDI_Perjuangan",2025-08-14T02:35:58.154Z,John Gun - Religion must died!
0,0,0,@nurwantp,2025-08-10T21:31:58.000Z,https://x.com/nurwantp/status/1954551298915004595,Jika masih menjabat sebagai Bupati Pati orang seperti ini SANGAT BERBAHAYA.,2025-08-14T02:35:58.197Z,Panglima Kumbang
0,0,0,@firmanmaula10,2025-08-10T21:30:13.000Z,https://x.com/firmanmaula10/status/1954550859267747894,"Bupati Pati Sedang ketar ketir akan kehilangan kursinya, Suharto sekelas presiden aja bisa di lengserkan apalagi sekelas bu pati",2025-08-14T02:35:58.238Z,Firman bastian
