tweet_url,display_name,username,tweet_text,replies,retweets,likes,views,posted_at
/taeyvtwt/status/830379698681180160,Tanya,@taeyvtwt,"glrhn lavivrie DiajengLrst : batita lebih butuh utk motorik kasar dll. Anak 7-8 thn ya gapapa main gadget agak lama, selama berkualitas.",0,0,0,0,2017-02-11T11:35:22.000Z
/equityworld_sby/status/829204757885681664,PT Equityworld Futur,@equityworld_sby,Cara Merangsang Kemampuan Motorik Anak,0,0,0,0,2017-02-08T05:46:34.000Z
/equityworld_sby/status/829204437491187712,PT Equityworld Futur,@equityworld_sby,Ketahui Penghambat Kemampuan Motorik Anak,0,0,0,0,2017-02-08T05:45:18.000Z
/Nutrisi_Bangsa/status/828517402065387520,Nutrisi Untuk Bangsa,@Nutrisi_Bangsa,"Pastikan dalam melakukan semua kegiatan, terutama untuk melatih motorik kasarnya, anak-anak selalu diawasi ya, Bunda. :)",16,7,8,0,2017-02-06T08:15:16.000Z
/Nutrisi_Bangsa/status/828479629899997184,Nutrisi Untuk Bangsa,@Nutrisi_Bangsa,"Motorik kasar yang baik akan membantu anak untuk berjalan, berlari, naik turun tangga dan sebagainya.",13,8,9,0,2017-02-06T05:45:10.000Z
/Nutrisi_Bangsa/status/828443122573123584,Nutrisi Untuk Bangsa,@Nutrisi_Bangsa,"Keterampilan motorik halus berguna melatih otot-otot halus anak untuk melakukan kegiatan seperti menulis, menggambar, bermain musik, dll",21,8,9,0,2017-02-06T03:20:06.000Z
/Nutrisi_Bangsa/status/828423163608457216,Nutrisi Untuk Bangsa,@Nutrisi_Bangsa,"Untuk anak-anak, bermain merupakan proses pembelajaran, juga mendukung perkembangan ketrampilan motorik, baik motorik kasar maupun halus.",17,8,7,0,2017-02-06T02:00:48.000Z
/BundaShidqi_Lia/status/828385917534556160,Lia Lathifa,@BundaShidqi_Lia,Taman Kaulinan dirancang utk kembangkan motorik dan fisik anak-anak spy sehat & cerdas  @YayasanBerani  #YayasanBerani #tamankaulinandonasiku,0,0,0,0,2017-02-05T23:32:48.000Z
/SevenSeas4Brain/status/828060807053316096,Seven Seas,@SevenSeas4Brain,"Makan bersama dgn anggota keluarga akan meningkatkan proses perkembangan anak. Baik perkembangan motorik, sosial, emosional, maupun bahasa.",0,0,0,0,2017-02-05T02:00:55.000Z
/ceritaarni/status/828033844502597633,Putu Sukartini,@ceritaarni,Aneka permainan hadir disini untk menstimulasi motorik anak dan menyalurkan keb mainnya  @YayasanBerani  #YayasanBerani #TamanKaulinanDonasiku,0,2,4,0,2017-02-05T00:13:47.000Z
